orthogroup,gene,product,avg_bp_length
OG0000093,yafQ; yafQ_1; yafQ_2; yafQ_3,"type II toxin-antitoxin system YafQ family toxin; type II toxin-antitoxin system mRNA interferase toxin, RelE/StbE family; mRNA interferase toxin YafQ; hypothetical protein",259.05882352941177
OG0000094,ruvC,crossover junction endodeoxyribonuclease RuvC; hypothetical protein; Crossover junction endodeoxyribonuclease RuvC,486.12
OG0000095,,hypothetical protein,687.78
OG0000096,infC; infC_1; infC_2,translation initiation factor IF-3; Translation initiation factor IF-3,470.0204081632653
OG0000097,,porin family protein; hypothetical protein,933.0612244897959
OG0000098,ada,methylated-DNA--[protein]-cysteine S-methyltransferase; Bifunctional transcriptional activator/DNA repair enzyme Ada; hypothetical protein,477.42857142857144
OG0000099,,hypothetical protein; HNH/ENDO VII family nuclease,488.6734693877551
OG0000100,,MFS transporter; putative MFS-type transporter; hypothetical protein,742.2857142857143
OG0000101,leuB; cinA,isocitrate/isopropylmalate family dehydrogenase; 3-isopropylmalate dehydrogenase; hypothetical protein; Putative competence-damage inducible protein; isocitrate/isopropylmalate dehydrogenase family protein; molybdopterin-binding protein,1898.6938775510205
OG0000102,,hypothetical protein,459.79591836734693
OG0000103,tmk_1; tmk_2; tmk,Thymidylate kinase; hypothetical protein; dTMP kinase,428.51020408163265
OG0000104,menH; menH_1,"alpha/beta hydrolase; hypothetical protein; 2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase",783
OG0000105,cdsA,phosphatidate cytidylyltransferase; hypothetical protein; Phosphatidate cytidylyltransferase,784.0208333333334
OG0000106,yacG,DNA gyrase inhibitor YacG; hypothetical protein,275
OG0000107,badA_2; badA_3; badA_5,Vomp family autotransporter; Autotransporter adhesin BadA; hypothetical protein,5203.145833333333
OG0000108,,hypothetical protein,1213.75
OG0000109,,hypothetical protein; DEAD/DEAH box helicase family protein,2630.0625
OG0000110,,translocation/assembly module TamB domain-containing protein; hypothetical protein,4552.914893617021
OG0000111,,invasion associated locus B family protein; invasion-associated locus B family protein; hypothetical protein,594.1276595744681
OG0000112,,site-specific DNA-methyltransferase; hypothetical protein,1139.872340425532
OG0000113,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,817.8510638297872
OG0000114,purL,phosphoribosylformylglycinamidine synthase subunit PurL; Phosphoribosylformylglycinamidine synthase subunit PurL; AIR synthase related protein,2160.1702127659573
OG0000115,hisS,histidine--tRNA ligase; Histidine--tRNA ligase; His/Gly/Thr/Pro-type tRNA ligase C-terminal domain-containing protein,1472.7446808510638
OG0000116,kgtP_3; kgtP_1; kgtP_4,MFS family transporter; Alpha-ketoglutarate permease; MFS transporter,1297.404255319149
OG0000117,ettA,energy-dependent translational throttle protein EttA; Energy-dependent translational throttle protein EttA; ATP-binding cassette domain-containing protein,1654.659574468085
OG0000118,pncA,bifunctional nicotinamidase/pyrazinamidase; Nicotinamidase; isochorismatase family protein,595.6382978723404
OG0000119,carA; menF,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit; Carbamoyl-phosphate synthase small chain; Isochorismate synthase MenF,1212.1914893617022
OG0000120,aatA,pyridoxal phosphate-dependent aminotransferase; Aspartate/prephenate aminotransferase; aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,1177.212765957447
OG0000121,mshA,glycosyltransferase family 4 protein; D-inositol-3-phosphate glycosyltransferase; hypothetical protein,970.5744680851063
OG0000122,,BA14K family protein; hypothetical protein,744.7021276595744
OG0000123,ctrA,response regulator transcription factor; Cell cycle response regulator CtrA,700.1914893617021
OG0000124,zur,transcriptional repressor; Zinc uptake regulation protein,393.25531914893617
OG0000125,emrB; ribZ,DHA2 family efflux MFS transporter permease subunit; Colistin resistance protein EmrB; Riboflavin transporter RibZ,1568.3617021276596
OG0000126,mftE,creatininase family protein; hypothetical protein; Putative mycofactocin system creatinine amidohydrolase family protein MftE,731.4255319148937
OG0000127,fliI; atpD,flagellar protein export ATPase FliI; F0F1 ATP synthase subunit beta; ATP synthase subunit beta,1604.5531914893618
OG0000128,,DUF4167 domain-containing protein; hypothetical protein,751.3404255319149
OG0000129,,phage terminase large subunit; hypothetical protein,1320.7659574468084
OG0000130,,DUF1376 domain-containing protein; hypothetical protein,1088.2340425531916
OG0000131,suhB,inositol monophosphatase; Inositol-1-monophosphatase; hypothetical protein,780.7021276595744
OG0000132,,glycine zipper domain-containing protein; hypothetical protein; membrane protein; DUF1269 domain-containing protein,395.93617021276594
OG0000133,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase; Bifunctional purine biosynthesis protein PurH; hypothetical protein,1583.2340425531916
OG0000134,,glutamine amidotransferase; hypothetical protein,732.8297872340426
OG0000135,,hypothetical protein,1069.212765957447
OG0000136,apxIB; ltxB; irtB; apxIB_1; apxIB_2; pglK; hlyB,ATP-binding cassette domain-containing protein; Toxin RTX-I translocation ATP-binding protein; Leukotoxin export ATP-binding protein LtxB; Iron import ATP-binding/permease protein IrtB; peptidase domain-containing ABC transporter; hypothetical protein; Putative multidrug export ATP-binding/permease protein; Protein glycosylation K; Alpha-hemolysin translocation ATP-binding protein HlyB; ABC transporter transmembrane domain-containing protein; ABC transporter ATP-binding protein/permease,807.7659574468086
OG0000137,,hypothetical protein,320.93617021276594
OG0000138,,hypothetical protein,320.29787234042556
OG0000139,trwH,TrwH protein; hypothetical protein; type IV secrection system protein TrwH,144.31914893617022
OG0000140,,GNAT family N-acetyltransferase; hypothetical protein,485.74468085106383
OG0000141,,hypothetical protein; phage tail protein,367.51063829787233
OG0000142,yqfL,"kinase/pyrophosphorylase; Putative pyruvate, phosphate dikinase regulatory protein",826.7608695652174
OG0000143,yceF; maf,Maf family nucleotide pyrophosphatase; 7-methyl-GTP pyrophosphatase; dTTP/UTP pyrophosphatase,596.9347826086956
OG0000144,coaE,dephospho-CoA kinase; Dephospho-CoA kinase,590.0869565217391
OG0000145,dnaQ,DNA polymerase III subunit epsilon,707.9347826086956
OG0000146,,endonuclease/exonuclease/phosphatase family protein; hypothetical protein,874.3695652173913
OG0000147,ybhL,Bax inhibitor-1/YccA family protein; Inner membrane protein YbhL,815.7391304347826
OG0000148,lspA,signal peptidase II; Lipoprotein signal peptidase,501.80434782608694
OG0000149,aviRb,RNA methyltransferase; 23S rRNA (uridine(2479)-2'-O)-methyltransferase,844.304347826087
OG0000150,ihfB,integration host factor subunit beta; Integration host factor subunit beta,296.2826086956522
OG0000151,lptC,LPS export ABC transporter periplasmic protein LptC; hypothetical protein,644.6739130434783
OG0000152,lptA,OstA family protein; organic solvent tolerance protein OstA; Lipopolysaccharide export system protein LptA; sugar ABC transporter substrate-binding protein; LPS ABC transporter substrate-binding protein LptA,592.9565217391304
OG0000153,lptB; lptB_1; lptB_2,LPS export ABC transporter ATP-binding protein; Lipopolysaccharide export system ATP-binding protein LptB,796.6304347826087
OG0000154,ptsN,PTS IIA-like nitrogen regulatory protein PtsN; Nitrogen regulatory protein,465
OG0000155,,invasion associated locus B family protein; hypothetical protein,504.5217391304348
OG0000156,rlmN,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN; Dual-specificity RNA methyltransferase RlmN,1227.4565217391305
OG0000157,prfC,peptide chain release factor 3; Peptide chain release factor 3; Peptide chain release factor RF3,1576.5652173913043
OG0000158,trxA,thioredoxin; Thioredoxin C-1,323.2826086956522
OG0000159,addB,double-strand break repair protein AddB; hypothetical protein,3121.3695652173915
OG0000160,rcsC_1; rcsC_2; rcsC_4; rcsC_3,PAS domain-containing sensor histidine kinase; PAS-domain containing protein; Sensor histidine kinase RcsC,2485.8260869565215
OG0000161,oleD,complex I NDUFA9 subunit family protein; hypothetical protein; 2-alkyl-3-oxoalkanoate reductase,999.0652173913044
OG0000162,fpgS,bifunctional folylpolyglutamate synthase/dihydrofolate synthase; Folylpolyglutamate synthase,1319.7391304347825
OG0000163,accD,"acetyl-CoA carboxylase, carboxyltransferase subunit beta; Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta",921
OG0000164,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC; Coenzyme A biosynthesis bifunctional protein CoaBC,1405.4782608695652
OG0000165,ubiE,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE; Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE; ubiquinone/menaquinone biosynthesis methyltransferase",780.1739130434783
OG0000166,comM,YifB family Mg chelatase-like AAA ATPase; Competence protein ComM,1533
OG0000167,bamA_1; bamA_2,autotransporter assembly complex protein TamA; Outer membrane protein assembly factor BamA,1964.608695652174
OG0000168,,ABC transporter ATP-binding protein/permease; Putative multidrug export ATP-binding/permease protein,1764.8478260869565
OG0000169,,M48 family metallopeptidase; hypothetical protein,746.5434782608696
OG0000170,dapE; dapE_1; dapE_2,succinyl-diaminopimelate desuccinylase; Succinyl-diaminopimelate desuccinylase,1173
OG0000171,hemW,radical SAM family heme chaperone HemW; Heme chaperone HemW,1200.8478260869565
OG0000172,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase; non-canonical purine NTP pyrophosphatase; dITP/XTP pyrophosphatase,649.0434782608696
OG0000173,hrcA,heat-inducible transcriptional repressor HrcA; Heat-inducible transcription repressor HrcA,1093.5
OG0000174,grpE,nucleotide exchange factor GrpE; Protein GrpE,662.4782608695652
OG0000175,sasA_2; sasA_5; sasA_3; sasA_6; sasA_4; sasA_1,sensor histidine kinase; Adaptive-response sensory-kinase SasA,1784.9347826086957
OG0000176,baeR,response regulator transcription factor; Transcriptional regulatory protein BaeR,723
OG0000177,,copper chaperone PCu(A)C; hypothetical protein,561.0652173913044
OG0000178,dnaK,molecular chaperone DnaK; Chaperone protein DnaK,1893.391304347826
OG0000179,dnaJ; dnaJ_1; dnaJ_2; dnaJ_3,molecular chaperone DnaJ; Chaperone protein DnaJ,1144.1739130434783
OG0000180,argB,acetylglutamate kinase; Acetylglutamate kinase,906
OG0000181,,DMT family transporter; hypothetical protein,914.1521739130435
OG0000182,lepA,translation elongation factor 4; Elongation factor 4,1819.4347826086957
OG0000183,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",849.2608695652174
OG0000184,,LOG family protein; hypothetical protein,865.8913043478261
OG0000185,truA; truA_3,tRNA pseudouridine(38-40) synthase TruA; tRNA pseudouridine synthase A,757.9565217391304
OG0000186,fmt,methionyl-tRNA formyltransferase; Methionyl-tRNA formyltransferase,930.1304347826087
OG0000187,def,peptide deformylase; Peptide deformylase,529.4347826086956
OG0000188,rmuC,DNA recombination protein RmuC; hypothetical protein,1161.2608695652175
OG0000189,,hypothetical protein; membrane protein; transglycosylase SLT domain-containing protein,587.9347826086956
OG0000190,,DUF1150 family protein; DUF1150 domain-containing protein; hypothetical protein,252
OG0000191,nth,endonuclease III; Endonuclease III,749.6739130434783
OG0000192,rpmI,50S ribosomal protein L35; hypothetical protein,206.7391304347826
OG0000193,rplT,50S ribosomal protein L20,402
OG0000194,pheS,phenylalanine--tRNA ligase subunit alpha; Phenylalanine--tRNA ligase alpha subunit,1084.1739130434783
OG0000195,pheT,phenylalanine--tRNA ligase subunit beta; Phenylalanine--tRNA ligase beta subunit,2415
OG0000196,,metal ABC transporter substrate-binding protein; putative periplasmic iron-binding protein,908.6739130434783
OG0000197,mntB_3; mntB_1; mntB_4,manganese/iron ABC transporter ATP-binding protein; Manganese transport system ATP-binding protein MntB,830.9347826086956
OG0000198,mntB_2; mntB_3,metal ABC transporter permease; Manganese transport system membrane protein MntB,866.3478260869565
OG0000199,mntB_1; mntB_3; mntB_2,metal ABC transporter permease; Manganese transport system membrane protein MntB,906.1304347826087
OG0000200,ybaN,YbaN family protein; Inner membrane protein YbaN; hypothetical protein,362.9347826086956
OG0000201,pncB,nicotinate phosphoribosyltransferase; Nicotinate phosphoribosyltransferase,1306.695652173913
OG0000202,rpsA,30S ribosomal protein S1,1701
OG0000203,cmk,(d)CMP kinase; Cytidylate kinase,648
OG0000204,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,1329
OG0000205,,TIGR02300 family protein; hypothetical protein,381
OG0000206,tme,NADP-dependent malic enzyme,2289.586956521739
OG0000207,secB,protein-export chaperone SecB; Protein-export protein SecB,479.3478260869565
OG0000208,,Tim44/TimA family putative adaptor protein; hypothetical protein,696.9130434782609
OG0000209,hslO,Hsp33 family molecular chaperone; 33 kDa chaperonin,996.0652173913044
OG0000210,aruC,aspartate aminotransferase family protein; Succinylornithine transaminase/acetylornithine aminotransferase,1208.608695652174
OG0000211,,GcrA family cell cycle regulator; hypothetical protein,530.8695652173913
OG0000212,ccmD,heme exporter protein CcmD; hypothetical protein,251.02173913043478
OG0000213,ccmC,heme ABC transporter permease; Heme exporter protein C,760.1086956521739
OG0000214,ccmB,heme exporter protein CcmB; Heme exporter protein B,666.8478260869565
OG0000215,ccmA,heme ABC exporter ATP-binding protein CcmA; Cytochrome c biogenesis ATP-binding export protein CcmA,626.0217391304348
OG0000216,acnA,aconitate hydratase AcnA; Aconitate hydratase A,2688
OG0000217,rpsT,30S ribosomal protein S20,266.0217391304348
OG0000218,dnaA; dnaA_1; dnaA_2,chromosomal replication initiator protein DnaA; Chromosomal replication initiator protein DnaA,1569.8478260869565
OG0000219,dnaN,DNA polymerase III subunit beta; Beta sliding clamp,1122.0652173913043
OG0000220,recF,DNA replication/repair protein RecF; DNA replication and repair protein RecF,1135.8260869565217
OG0000221,aroQ,type II 3-dehydroquinate dehydratase; 3-dehydroquinate dehydratase,462.04347826086956
OG0000222,cyoA,ubiquinol oxidase subunit II; Cytochrome bo(3) ubiquinol oxidase subunit 2,987.7826086956521
OG0000223,cyoB,cytochrome o ubiquinol oxidase subunit I; Cytochrome bo(3) ubiquinol oxidase subunit 1,2019
OG0000224,cyoC,cytochrome (ubi)quinol oxidase subunit III; Cytochrome bo(3) ubiquinol oxidase subunit 3,667.304347826087
OG0000225,cyoD,cytochrome o ubiquinol oxidase subunit IV; hypothetical protein,626.7173913043479
OG0000226,fabI; fabI_1; fabI_2,enoyl-ACP reductase FabI; Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,819
OG0000227,fabB,beta-ketoacyl-ACP synthase I; 3-oxoacyl-[acyl-carrier-protein] synthase 1,1221
OG0000228,fabA,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA; 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,510.19565217391306
OG0000229,,transcriptional repressor; hypothetical protein,545.804347826087
OG0000230,,SH3 domain-containing protein; hypothetical protein,564.7173913043479
OG0000231,,NlpC/P60 family protein; hypothetical protein,873.4565217391304
OG0000232,pepA,leucyl aminopeptidase family protein; cytosol aminopeptidase; putative cytosol aminopeptidase,1369.0434782608695
OG0000233,coaA,type I pantothenate kinase; Pantothenate kinase,991.9565217391304
OG0000234,ansB; ansA; ansZ,asparaginase; L-asparaginase; putative L-asparaginase; L-asparaginase 2,991.5652173913044
OG0000235,hslV,ATP-dependent protease subunit HslV,581.0869565217391
OG0000236,hslU,ATP-dependent protease ATPase subunit HslU,1311
OG0000237,pnp,polyribonucleotide nucleotidyltransferase; Polyribonucleotide nucleotidyltransferase,2198.9347826086955
OG0000238,rpsO,30S ribosomal protein S15,270
OG0000239,entS; entS_3; entS_2; entS_1,MFS transporter; Enterobactin exporter EntS,1629
OG0000240,rbfA,30S ribosome-binding factor RbfA; Ribosome-binding factor A,406.7608695652174
OG0000241,nusA,transcription termination factor NusA; Transcription termination/antitermination protein NusA,1623.5869565217392
OG0000242,rimP,ribosome maturation factor RimP; Ribosome maturation factor RimP,621.6086956521739
OG0000243,trmB,tRNA (guanine(46)-N(7))-methyltransferase TrmB; tRNA (guanine-N(7)-)-methyltransferase,720.8478260869565
OG0000244,metK,methionine adenosyltransferase; S-adenosylmethionine synthase; methionine adenosyltransferase domain-containing protein,1255.4782608695652
OG0000245,,helix-turn-helix domain-containing protein; hypothetical protein,414.1304347826087
OG0000246,lnt,apolipoprotein N-acyltransferase; Apolipoprotein N-acyltransferase,1589.4130434782608
OG0000247,corC; tlyC,hemolysin family protein; Magnesium and cobalt efflux protein CorC; Hemolysin C,1023.195652173913
OG0000248,ybeY,rRNA maturation RNase YbeY; Endoribonuclease YbeY,483.9130434782609
OG0000249,miaB,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB; tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,1376.5434782608695
OG0000250,rimI; mshD,ribosomal protein S18-alanine N-acetyltransferase; [Ribosomal protein S18]-alanine N-acetyltransferase; Mycothiol acetyltransferase,489.5869565217391
OG0000251,tsaB; OSGEPL1,"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB; tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",688.8913043478261
OG0000252,ybaB,YbaB/EbfC family nucleoid-associated protein; Nucleoid-associated protein YbaB,323.9347826086956
OG0000253,ruvB_1; ruvB_2,DNA polymerase III subunit gamma/tau; Holliday junction ATP-dependent DNA helicase RuvB; hypothetical protein,1936.5
OG0000254,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,732
OG0000255,,cytochrome c family protein; hypothetical protein; c-type cytochrome,563.4782608695652
OG0000256,moeZ,molybdopterin-synthase adenylyltransferase MoeB; putative adenylyltransferase/sulfurtransferase MoeZ; ThiF family adenylyltransferase,770.0652173913044
OG0000257,gshB,glutathione synthase; Glutathione synthetase,939.195652173913
OG0000258,pstS,substrate-binding domain-containing protein; Phosphate-binding protein PstS,1046.804347826087
OG0000259,pstC,phosphate ABC transporter permease subunit PstC; hypothetical protein,1466.9347826086957
OG0000260,pstA,phosphate ABC transporter permease PstA; hypothetical protein,1291.5652173913043
OG0000261,pstB,phosphate ABC transporter ATP-binding protein PstB; Phosphate import ATP-binding protein PstB,759
OG0000262,,cell wall hydrolase; hypothetical protein,845.6739130434783
OG0000263,rnd_1; rnd_2,ribonuclease D; Ribonuclease D,613.1739130434783
OG0000264,ileS,isoleucine--tRNA ligase; Isoleucine--tRNA ligase,2916.4565217391305
OG0000265,,hypothetical protein,485
OG0000266,tadA,nucleoside deaminase; tRNA-specific adenosine deaminase,448.7608695652174
